Date,Open,High,Low,Close,event_return,entry_date_1,entry_price_1,forward_return_1,entry_date_3,entry_price_3,forward_return_3,entry_date_5,entry_price_5,forward_return_5,entry_date_10,entry_price_10,forward_return_10,period,trend_regime,volatility_regime,trend_volatility_regime
2009-02-02,2872.35009765625,2873.449951171875,2760.699951171875,2766.64990234375,-0.03762005866406637,2009-02-03,2773.5,0.003749739442491462,2009-02-03,2773.5,0.0023616545260951582,2009-02-03,2773.5,0.05278525413511814,2009-02-03,2773.5,0.027041644131963194,development,downtrend,high,downtrend_high
2009-02-16,2948.25,2953.199951171875,2839.10009765625,2848.5,-0.03386643185136817,2009-02-17,2853.85009765625,-0.029206193319229357,2009-02-17,2853.85009765625,-0.022601046934094815,2009-02-17,2853.85009765625,-0.0420310076590954,2009-02-17,2853.85009765625,-0.08110103452966244,development,uptrend,low,uptrend_low
2009-03-02,2764.60009765625,2764.60009765625,2659.550048828125,2674.60009765625,-0.032221810950793794,2009-03-03,2672.14990234375,-0.018617967486166953,2009-03-03,2672.14990234375,-0.035720283165310285,2009-03-03,2672.14990234375,-0.03704881972121654,2009-03-03,2672.14990234375,0.04586196632181294,development,downtrend,low,downtrend_low
2009-03-30,3108.75,3110.199951171875,2962.39990234375,2978.14990234375,-0.041979638781970974,2009-03-31,2981.699951171875,0.01316363170096091,2009-03-31,2981.699951171875,0.07691924117519289,2009-03-31,2981.699951171875,0.12115571852158391,2009-03-31,2981.699951171875,0.13505716798016687,development,uptrend,medium,uptrend_medium
2009-04-16,3484.35009765625,3511.25,3354.199951171875,3369.5,-0.03290613365016992,2009-04-17,3369.5,0.004421992088959881,2009-04-17,3369.5,-0.0012464612470322045,2009-04-17,3369.5,0.016085458130842945,2009-04-17,3369.5,0.08443389226888254,development,uptrend,medium,uptrend_medium
2009-04-28,3469.5,3471.949951171875,3351.5,3362.35009765625,-0.031023026612031712,2009-04-29,3371.64990234375,0.030341242949635028,2009-04-29,3371.64990234375,0.08608545027116765,2009-04-29,3371.64990234375,0.09261044564055854,2009-04-29,3371.64990234375,0.06578383143337163,development,uptrend,medium,uptrend_medium
2009-06-08,4582.35009765625,4611.39990234375,4404.64990234375,4429.89990234375,-0.034227910646094206,2009-06-09,4427.75,0.027824559948619543,2009-06-09,4427.75,0.04741690368979734,2009-06-09,4427.75,0.01270396928462536,2009-06-09,4427.75,-0.04347580599627354,development,uptrend,high,uptrend_high
2009-06-17,4515.35009765625,4517.7998046875,4332.7998046875,4356.14990234375,-0.03578066964720927,2009-06-18,4352.9501953125,-0.023329073022270053,2009-06-18,4352.9501953125,-0.02703917803590905,2009-06-18,4352.9501953125,-0.013783755225274863,2009-06-18,4352.9501953125,-0.002768304811235023,development,downtrend,low,downtrend_low
2009-07-06,4429.60009765625,4479.7998046875,4133.7001953125,4165.7001953125,-0.05843923934847717,2009-07-07,4166.0,0.008677364940890442,2009-07-07,4166.0,-0.020415278163256168,2009-07-07,4166.0,-0.04607536033890425,2009-07-07,4166.0,0.08071291406625059,development,downtrend,medium,downtrend_medium
2009-08-17,4578.7998046875,4578.7998046875,4374.60009765625,4387.89990234375,-0.041953670928882025,2009-08-18,4389.5,0.015810434524148542,2009-08-18,4389.5,0.014568901996240946,2009-08-18,4389.5,0.05770584455803629,2009-08-18,4389.5,0.06210276743507226,development,downtrend,low,downtrend_low
2009-11-03,4712.25,4729.85009765625,4538.5,4563.89990234375,-0.03136878129805265,2009-11-04,4567.2998046875,0.0314190016282101,2009-11-04,4567.2998046875,0.05010621317684838,2009-11-04,4567.2998046875,0.06883725703802623,2009-11-04,4567.2998046875,0.10836822991223927,development,downtrend,low,downtrend_low
2010-01-27,5008.5,5008.5,4833.0498046875,4853.10009765625,-0.030911121968522637,2010-01-28,4863.0,0.00087394612379188,2010-01-28,4863.0,0.007546821984885765,2010-01-28,4863.0,0.014157947286911332,2010-01-28,4863.0,-0.02175607745990127,development,downtrend,low,downtrend_low
2011-02-24,5408.75,5423.39990234375,5242.5,5262.7001953125,-0.03212040777345426,2011-02-25,5321.0498046875,-0.0032888246948156175,2011-02-25,5321.0498046875,0.037821483990379434,2011-02-25,5321.0498046875,0.04091301590913887,2011-02-25,5321.0498046875,0.023378918670411863,development,downtrend,high,downtrend_high
2011-09-22,5054.4501953125,5059.85009765625,4907.75,4923.64990234375,-0.04083185070983297,2011-09-23,4873.75,-0.0012310848935624952,2011-09-23,4873.75,0.020005129520389797,2011-09-23,4873.75,0.02907416164401133,2011-09-23,4873.75,0.002934045588612433,development,downtrend,high,downtrend_high
2013-08-16,5705.4501953125,5716.60009765625,5496.0498046875,5507.85009765625,-0.04082853821736476,2013-08-19,5497.5498046875,-0.015061219566742334,2013-08-19,5497.5498046875,-0.03547034714150887,2013-08-19,5497.5498046875,-0.0046929642484551115,2013-08-19,5497.5498046875,-0.004683904814840267,development,downtrend,high,downtrend_high
2013-08-27,5426.5,5427.39990234375,5274.25,5287.4501953125,-0.03452018710627225,2013-08-28,5233.4501953125,0.00985006119551346,2013-08-28,5233.4501953125,0.04554349434498972,2013-08-28,5233.4501953125,0.0206364818560294,2013-08-28,5233.4501953125,0.12987602473795268,development,downtrend,high,downtrend_high
2015-08-24,8055.9501953125,8060.0498046875,7769.39990234375,7809.0,-0.05915098088055637,2015-08-25,7895.39990234375,-0.001861806521907372,2015-08-25,7895.39990234375,0.006782467466005526,2015-08-25,7895.39990234375,0.00961318024198099,2015-08-25,7895.39990234375,-0.04263243177287701,development,downtrend,high,downtrend_high
2016-02-11,7203.60009765625,7208.64990234375,6959.9501953125,6976.35009765625,-0.03317073758299127,2016-02-12,7023.64990234375,-0.0060794184825472275,2016-02-12,7023.64990234375,0.003502466381196001,2016-02-12,7023.64990234375,0.023933439165320092,2016-02-12,7023.64990234375,-0.007553025197027163,development,downtrend,high,downtrend_high
2020-02-28,11382.0,11384.7998046875,11175.0498046875,11201.75,-0.03709607866493836,2020-03-02,11387.349609375,-0.02235810949067485,2020-03-02,11387.349609375,-0.011973779154259567,2020-03-02,11387.349609375,-0.03494223218850823,2020-03-02,11387.349609375,-0.19231421655369696,oos,downtrend,high,downtrend_high
2020-03-09,10742.0498046875,10751.5498046875,10294.4501953125,10451.4501953125,-0.048956043335951605,2020-03-11,10334.2998046875,0.012008610963774258,2020-03-11,10334.2998046875,-0.03668362797090963,2020-03-11,10334.2998046875,-0.13230214197771129,2020-03-11,10334.2998046875,-0.24513029889562055,oos,downtrend,high,downtrend_high
2020-03-18,9088.4501953125,9127.5498046875,8407.0498046875,8468.7998046875,-0.05556454027271507,2020-03-19,8063.2998046875,0.02482239225541938,2020-03-19,8063.2998046875,-0.05618665008885382,2020-03-19,8063.2998046875,0.031568937141531084,2020-03-19,8063.2998046875,0.023625563307128283,oos,downtrend,high,downtrend_high
2020-03-30,8385.9501953125,8576.0,8244.0,8281.099609375,-0.04378053643081892,2020-03-31,8529.349609375,0.008019414581132756,2020-03-31,8529.349609375,-0.05223725431512105,2020-03-31,8529.349609375,0.02572299186609106,2020-03-31,8529.349609375,0.08645446890985564,oos,downtrend,high,downtrend_high
2020-04-21,9016.9501953125,9044.400390625,8909.400390625,8981.4501953125,-0.030274667144095657,2020-04-22,9026.75,0.017786003233445147,2020-04-22,9026.75,0.014141345514720127,2020-04-22,9026.75,0.0392334329215942,2020-04-22,9026.75,0.02704743020743905,oos,uptrend,high,uptrend_high
2020-05-04,9533.5,9533.5,9266.9501953125,9293.5,-0.05744483901313502,2020-05-05,9429.400390625,-0.02373435976613203,2020-05-05,9429.400390625,-0.02442897495014862,2020-05-05,9429.400390625,-0.020170974551213527,2020-05-05,9429.400390625,-0.06428302601591229,oos,uptrend,high,uptrend_high
2020-05-18,9158.2998046875,9158.2998046875,8806.75,8823.25,-0.034322509703259896,2020-05-19,8961.7001953125,-0.009217066420131426,2020-05-19,8961.7001953125,0.016129730021889,2020-05-19,8961.7001953125,0.007515271422517289,2020-05-19,8961.7001953125,0.11352749945759855,oos,downtrend,high,downtrend_high
2020-12-21,13741.900390625,13777.5,13131.4501953125,13328.400390625,-0.0314049525779333,2020-12-22,13373.650390625,0.006927758043342225,2020-12-22,13373.650390625,0.028085047717285816,2020-12-22,13373.650390625,0.041794813115634266,2020-12-22,13373.650390625,0.061751996295186906,oos,uptrend,medium,uptrend_medium
2021-02-26,14888.599609375,14919.4501953125,14467.75,14529.150390625,-0.03763569324758598,2021-03-01,14702.5,0.0040163104701580465,2021-03-01,14702.5,0.0369392694694779,2021-03-01,14702.5,0.016024459063084473,2021-03-01,14702.5,0.015439551096752213,oos,downtrend,high,downtrend_high
2021-04-12,14644.650390625,14652.5,14248.7001953125,14310.7998046875,-0.03532558930400764,2021-04-13,14364.900390625,0.009738975576454534,2021-04-13,14364.900390625,0.01760883903623056,2021-04-13,14364.900390625,-0.004768567698854698,2021-04-13,14364.900390625,0.03478265776131573,oos,downtrend,medium,downtrend_medium
2022-02-14,17076.150390625,17099.5,16809.650390625,16842.80078125,-0.03061622289529342,2022-02-15,16933.25,0.024755981205616173,2022-02-15,16933.25,0.021930202966057966,2022-02-15,16933.25,0.016145771817282606,2022-02-15,16933.25,-0.008229348139016435,oos,downtrend,high,downtrend_high
2022-02-24,16548.900390625,16705.25,16203.25,16247.9501953125,-0.04778103847083648,2022-02-25,16515.650390625,0.008643316891778774,2022-02-25,16515.650390625,0.0054674703078152476,2022-02-25,16515.650390625,-0.01636634191551034,2022-02-25,16515.650390625,0.006950911735826404,oos,downtrend,high,downtrend_high
2024-06-04,23179.5,23179.5,21281.44921875,21884.5,-0.05929359941641077,2024-06-05,22128.349609375,0.022233922035991283,2024-06-05,22128.349609375,0.05250282112127258,2024-06-05,22128.349609375,0.051359456085170674,2024-06-05,22128.349609375,0.06270916788286374,oos,downtrend,high,downtrend_high
2025-04-07,21758.400390625,22254.0,21743.650390625,22161.599609375,-0.03243254628305536,2025-04-08,22446.75,0.003969376830721627,2025-04-08,22446.75,0.017009178667290348,2025-04-08,22446.75,0.0441243930078965,2025-04-08,22446.75,0.08018752018666397,oos,downtrend,high,downtrend_high
2026-03-19,23197.75,23378.69921875,22930.349609375,23002.150390625,-0.03262077926216955,2026-03-20,23110.150390625,0.00018821207571040333,2026-03-20,23110.150390625,-0.00855684608959617,2026-03-20,23110.150390625,-0.01257243143549025,2026-03-20,23110.150390625,0.0005841588986577051,oos,downtrend,high,downtrend_high
