period,regime,horizon,event_n,baseline_n,event_mean,baseline_mean,mean_difference,status,partition
development,downtrend_high,10,11,432,-0.02458102931866112,0.0035569868356658853,-0.028138016154327004,inferential,trend_volatility
development,downtrend_low,1,5,331,0.0012312683535427027,0.0005509133225582184,0.0006803550309844843,descriptive_only,trend_volatility
development,downtrend_low,3,5,331,0.0018924951913511512,0.0033672691985047387,-0.0014747740071535875,descriptive_only,trend_volatility
development,downtrend_low,5,5,331,0.01797369478729649,0.007060389840755107,0.010913304946541382,descriptive_only,trend_volatility
development,downtrend_low,10,5,331,0.038361716279597634,0.014703777562337213,0.02365793871726042,descriptive_only,trend_volatility
development,downtrend_medium,1,4,344,-0.010714170523378391,-0.001705267320810168,-0.009008903202568223,descriptive_only,trend_volatility
development,downtrend_medium,3,4,344,-0.017341650184941215,-0.0013747670107065741,-0.015966883174234642,descriptive_only,trend_volatility
development,downtrend_medium,5,4,344,-0.04144750828383467,-0.00199804338548593,-0.03944946489834874,descriptive_only,trend_volatility
development,downtrend_medium,10,4,344,-0.020997986779230565,-0.004965734037317055,-0.01603225274191351,descriptive_only,trend_volatility
development,uptrend_high,1,1,384,0.027824559948619543,-0.0005999660480441284,0.02842452599666367,descriptive_only,trend_volatility
development,uptrend_high,3,1,384,0.04741690368979734,-0.0004326056079305895,0.04784950929772793,descriptive_only,trend_volatility
development,uptrend_high,5,1,384,0.01270396928462536,0.00042760696613642805,0.012276362318488932,descriptive_only,trend_volatility
development,uptrend_high,10,1,384,-0.04347580599627354,0.0023838949415962694,-0.04585970093786981,descriptive_only,trend_volatility
development,uptrend_low,1,1,787,-0.029206193319229357,-0.0004337662873244069,-0.02877242703190495,descriptive_only,trend_volatility
development,uptrend_low,3,1,787,-0.022601046934094815,-6.408957630465427e-05,-0.022536957357790162,descriptive_only,trend_volatility
development,uptrend_low,5,1,787,-0.0420310076590954,0.0006173059378177897,-0.042648313596913186,descriptive_only,trend_volatility
development,uptrend_low,10,1,787,-0.08110103452966244,0.003175868361398838,-0.08427690289106128,descriptive_only,trend_volatility
development,uptrend_medium,1,3,471,0.015975622246518606,0.00020596308262404463,0.015769659163894563,descriptive_only,trend_volatility
development,uptrend_medium,3,3,471,0.053919410066442776,0.002543225428138643,0.05137618463830413,descriptive_only,trend_volatility
development,uptrend_medium,5,3,471,0.07661720743099514,0.003511725245832324,0.07310548218516282,descriptive_only,trend_volatility
development,uptrend_medium,10,3,471,0.09509163056080701,0.005534829273042384,0.08955680128776462,descriptive_only,trend_volatility
oos,downtrend_high,1,11,263,0.0070074873999542205,-0.000461281699807142,0.0074687690997613625,inferential,trend_volatility
oos,downtrend_high,3,11,263,-0.0014235895513579268,-0.001262734201866812,-0.00016085534949111476,inferential,trend_volatility
oos,downtrend_high,5,11,263,-0.00033835155578603777,-0.0011218095478268042,0.0007834579920407664,inferential,trend_volatility
oos,downtrend_high,10,11,260,-0.005108638373907948,0.000838301945475812,-0.00594694031938376,inferential,trend_volatility
oos,downtrend_low,1,0,161,,-0.00027323585761674854,,descriptive_only,trend_volatility
oos,downtrend_low,3,0,161,,0.0009470052284713309,,descriptive_only,trend_volatility
oos,downtrend_low,5,0,161,,0.002761860829281855,,descriptive_only,trend_volatility
oos,downtrend_low,10,0,161,,0.0032798421384655184,,descriptive_only,trend_volatility
oos,downtrend_medium,1,1,189,0.009738975576454534,-0.0005125747559385356,0.01025155033239307,descriptive_only,trend_volatility
oos,downtrend_medium,3,1,189,0.01760883903623056,0.002201443164236315,0.015407395871994247,descriptive_only,trend_volatility
oos,downtrend_medium,5,1,188,-0.004768567698854698,0.004805346844670036,-0.009573914543524733,descriptive_only,trend_volatility
oos,downtrend_medium,10,1,186,0.03478265776131573,0.008851545884266714,0.025931111877049013,descriptive_only,trend_volatility
oos,uptrend_high,1,2,259,-0.0029741782663434413,-0.0006364110849670629,-0.0023377671813763785,descriptive_only,trend_volatility
oos,uptrend_high,3,2,259,-0.005143814717714246,0.0003900533665090224,-0.005533868084223268,descriptive_only,trend_volatility
oos,uptrend_high,5,2,258,0.009531229185190337,0.0012621551551204105,0.008269074030069927,descriptive_only,trend_volatility
oos,uptrend_high,10,2,258,-0.01861779790423662,0.001056608307626582,-0.019674406211863203,descriptive_only,trend_volatility
oos,uptrend_low,1,0,433,,-0.00045316985490828556,,descriptive_only,trend_volatility
oos,uptrend_low,3,0,433,,0.0005162019458854982,,descriptive_only,trend_volatility
oos,uptrend_low,5,0,433,,0.002259364458132945,,descriptive_only,trend_volatility
oos,uptrend_low,10,0,433,,0.007135848134308728,,descriptive_only,trend_volatility
oos,uptrend_medium,1,1,278,0.006927758043342225,-0.0007686218513569395,0.007696379894699164,descriptive_only,trend_volatility
oos,uptrend_medium,3,1,276,0.028085047717285816,0.0004018092628939101,0.027683238454391905,descriptive_only,trend_volatility
oos,uptrend_medium,5,1,276,0.041794813115634266,-0.00034738815954001083,0.042142201275174276,descriptive_only,trend_volatility
oos,uptrend_medium,10,1,276,0.061751996295186906,0.001334466299889929,0.060417529995296974,descriptive_only,trend_volatility
